SAM3	S000006195	amino acid transport	GO:0006865
CKS1	S000000339	small conjugating protein binding	GO:0032182
BUR2	S000004216	regulation of protein modification process	GO:0031399
ZRG17	S000005322	endoplasmic reticulum	GO:0005783
SPT4	S000003295	chromatin organization	GO:0006325
YLH47	S000006329	cytoplasm	GO:0005737
TUS1	S000004417	site of polarized growth	GO:0030427
PAP2	S000005475	snoRNA processing	GO:0043144
tG(GCC)D1	S000006576	RNA binding	GO:0003723
MDH1	S000001568	mRNA binding	GO:0003729
COA4	S000004208	molecular function	GO:0003674
TRM44	S000005951	cytoplasm	GO:0005737
YPR158C-C	S000007361	RNA binding	GO:0003723
SWC5	S000000435	chromosome	GO:0005694
ERG6	S000004467	methyltransferase activity	GO:0008168
MLC2	S000006392	cytoskeleton	GO:0005856
DSN1	S000001449	chromosome	GO:0005694
UTP30	S000001768	nucleus	GO:0005634
LSG1	S000003067	nuclear transport	GO:0051169
POP3	S000005226	rRNA processing	GO:0006364
RCR2	S000002410	cytoplasm	GO:0005737
CTF3	S000004373	mitotic cell cycle	GO:0000278
TOP3	S000004224	chromosome	GO:0005694
OXR1	S000006117	response to chemical	GO:0042221
GUF1	S000004280	GTPase activity	GO:0003924
PIS1	S000006317	transferase activity	GO:0016740
AFG1	S000000778	protein targeting	GO:0006605
tC(GCA)P2	S000006529	translational elongation	GO:0006414
VAM6	S000002235	vacuole organization	GO:0007033
YBL113C	S000002153	biological process	GO:0008150
YPK3	S000000232	biological process	GO:0008150
SNR8	S000006497	nucleus	GO:0005634
PEP7	S000002731	nucleus	GO:0005634
YPS6	S000001478	hydrolase activity	GO:0016787
ATG21	S000006021	lipid binding	GO:0008289
THS1	S000001340	mitochondrion	GO:0005739
tD(GUC)K	S000006540	triplet codon-amino acid adaptor activity	GO:0030533
CLB2	S000006323	cytoplasm	GO:0005737
tQ(UUG)C	S000006692	RNA binding	GO:0003723
YLR264C-A	S000028808	biological process	GO:0008150
GIP4	S000000029	enzyme regulator activity	GO:0030234
PFK1	S000003472	ion transport	GO:0006811
SEC16	S000006006	endoplasmic reticulum	GO:0005783
RPS3	S000005122	nuclease activity	GO:0004518
SIP1	S000002830	transferase activity	GO:0016740
YDL012C	S000002170	plasma membrane	GO:0005886
CDC14	S000001924	phosphatase activity	GO:0016791
URA6	S000001507	nucleus	GO:0005634
GTR2	S000003395	vacuole	GO:0005773
ART10	S000004384	molecular function	GO:0003674
FRE7	S000005512	membrane	GO:0016020
TOS8	S000003064	DNA binding	GO:0003677
YCL074W	S000000579	nuclease activity	GO:0004518
ATG1	S000003148	transferase activity	GO:0016740
LDB7	S000000102	nucleus	GO:0005634
ZRT2	S000004120	transmembrane transporter activity	GO:0022857
DFM1	S000002819	endoplasmic reticulum	GO:0005783
GOT1	S000004906	Golgi vesicle transport	GO:0048193
HRB1	S000004949	cytoplasm	GO:0005737
SIN3	S000005364	protein binding transcription factor activity	GO:0000988
NUP120	S000001540	membrane	GO:0016020
YIL024C	S000001286	biological process	GO:0008150
PAM1	S000002659	molecular function	GO:0003674
FET5	S000001853	oxidoreductase activity	GO:0016491
GUT1	S000001024	transferase activity	GO:0016740
VBA4	S000002526	biological process	GO:0008150
ULP2	S000001293	nucleus	GO:0005634
ZRT3	S000001658	cellular ion homeostasis	GO:0006873
GEP3	S000005731	mitochondrion	GO:0005739
MMS21	S000000745	nucleus	GO:0005634
YAL037C-A	S000028732	cellular component	GO:0005575
SEC27	S000003105	cytoplasmic membrane-bounded vesicle	GO:0016023
SNR73	S000007307	RNA binding	GO:0003723
TOR1	S000003827	cell wall organization or biogenesis	GO:0071554
MCM2	S000000119	nucleus	GO:0005634
NPL4	S000000374	proteolysis involved in cellular protein catabolic process	GO:0051603
EFM4	S000001326	protein alkylation	GO:0008213
FAA1	S000005844	endoplasmic reticulum	GO:0005783
ENA1	S000002447	plasma membrane	GO:0005886
PHO5	S000000297	hydrolase activity	GO:0016787
RAD17	S000005895	nucleus	GO:0005634
CLD1	S000003342	membrane	GO:0016020
TIM17	S000003679	mitochondrion	GO:0005739
ALY2	S000003620	regulation of transport	GO:0051049
YHR138C	S000001180	cellular component	GO:0005575
ESL2	S000001804	cytoplasm	GO:0005737
GCD7	S000004282	RNA binding	GO:0003723
SEN2	S000004095	nuclease activity	GO:0004518
GTT1	S000001477	plasma membrane	GO:0005886
WSC3	S000005465	signal transducer activity	GO:0004871
ALG11	S000004993	transferase activity, transferring glycosyl groups	GO:0016757
MEL3	S000029693	hydrolase activity	GO:0016787
RNR3	S000001328	mitochondrion	GO:0005739
KRE29	S000000840	transferase activity	GO:0016740
CSM4	S000006121	meiotic cell cycle	GO:0051321
YHR140W	S000001182	molecular function	GO:0003674
GAT1	S000001873	nucleus	GO:0005634
PUS2	S000003031	cytoplasm	GO:0005737
SOG2	S000005880	cytokinesis	GO:0000910
COS12	S000003232	membrane	GO:0016020
RSM7	S000003874	mitochondrion organization	GO:0007005
SCS22	S000007228	molecular function	GO:0003674
TMN2	S000002514	membrane	GO:0016020
PIN3	S000006358	nucleus	GO:0005634
LEU9	S000005634	cytoplasm	GO:0005737
PDR16	S000005175	plasma membrane	GO:0005886
COX20	S000002639	cellular respiration	GO:0045333
PFK1	S000003472	transferase activity	GO:0016740
YPQ1	S000005452	ion transport	GO:0006811
SLD5	S000002897	DNA replication	GO:0006260
DDR2	S000005413	cellular response to DNA damage stimulus	GO:0006974
GEP7	S000003025	mitochondrion	GO:0005739
FRA1	S000003952	cytoplasm	GO:0005737
ARK1	S000004965	cytoplasm	GO:0005737
DNM1	S000003924	organelle fission	GO:0048285
URK1	S000005295	nucleus	GO:0005634
TEP1	S000005072	sporulation	GO:0043934
ELP2	S000003432	tRNA processing	GO:0008033
DBF2	S000003324	site of polarized growth	GO:0030427
CBP4	S000003406	protein complex biogenesis	GO:0070271
HMT1	S000000238	nucleus	GO:0005634
CDC10	S000000595	ion binding	GO:0043167
UBP16	S000005993	membrane	GO:0016020
SSK1	S000003996	cytoplasm	GO:0005737
ENV9	S000005772	protein maturation	GO:0051604
STE14	S000002818	protein alkylation	GO:0008213
PGK1	S000000605	carbohydrate metabolic process	GO:0005975
SEG1	S000004692	molecular function	GO:0003674
PAU17	S000003948	cellular component	GO:0005575
YNL011C	S000004956	cellular component	GO:0005575
IST1	S000005209	molecular function	GO:0003674
SPT6	S000003348	nuclear transport	GO:0051169
SDS24	S000000418	endocytosis	GO:0006897
HKR1	S000002828	cytokinesis	GO:0000910
SMT3	S000002918	protein modification by small protein conjugation or removal	GO:0070647
SFB3	S000001140	Golgi vesicle transport	GO:0048193
YFL034W	S000001860	molecular function	GO:0003674
JNM1	S000004908	cytoskeleton	GO:0005856
SNF8	S000005923	proteolysis involved in cellular protein catabolic process	GO:0051603
ADH4	S000003225	mitochondrion	GO:0005739
YEL043W	S000000769	ribosome	GO:0005840
BCS1	S000002783	protein transporter activity	GO:0008565
RPS26A	S000003157	ribosome	GO:0005840
TMA17	S000002268	nucleus	GO:0005634
MET14	S000001484	transferase activity	GO:0016740
QCR9	S000003415	cellular respiration	GO:0045333
BUD13	S000003142	mRNA processing	GO:0006397
RDL2	S000005812	mitochondrion	GO:0005739
SEC5	S000002573	membrane	GO:0016020
ATP23	S000005303	mitochondrion organization	GO:0007005
CDC73	S000004410	regulation of DNA metabolic process	GO:0051052
YJR111C	S000003872	molecular function	GO:0003674
POP3	S000005226	cytoplasm	GO:0005737
YML119W	S000004588	cytoplasm	GO:0005737
SAL1	S000005027	mitochondrion	GO:0005739
tV(AAC)L	S000006762	triplet codon-amino acid adaptor activity	GO:0030533
YMR074C	S000004678	nucleus	GO:0005634
SUP5	S000006783	translational elongation	GO:0006414
PUF2	S000006246	mRNA binding	GO:0003729
YGR161C-D	S000007368	nuclease activity	GO:0004518
MRPL20	S000001793	mitochondrion organization	GO:0007005
HSP78	S000002666	protein folding	GO:0006457
RFA1	S000000065	cytoplasm	GO:0005737
ATP4	S000005999	membrane	GO:0016020
YGR250C	S000003482	RNA binding	GO:0003723
tI(AAU)E1	S000006602	translational elongation	GO:0006414
PGA1	S000005102	cytoplasm	GO:0005737
SPE3	S000006273	cellular amino acid metabolic process	GO:0006520
DSE3	S000005790	cytoplasm	GO:0005737
SHS1	S000002384	ion binding	GO:0043167
MRPL16	S000000134	structural molecule activity	GO:0005198
QCR7	S000002937	cytoplasm	GO:0005737
RSM28	S000002902	ribosome	GO:0005840
DIC1	S000004340	ion transport	GO:0006811
YNR068C	S000005351	biological process	GO:0008150
RIB4	S000005503	nucleus	GO:0005634
HEL2	S000002674	histone modification	GO:0016570
DTD1	S000002378	cellular amino acid metabolic process	GO:0006520
EMC4	S000003200	cytoplasm	GO:0005737
RPL8A	S000001025	structural molecule activity	GO:0005198
YOR019W	S000005545	ribosome	GO:0005840
LCB5	S000004250	lipid metabolic process	GO:0006629
COS8	S000001040	molecular function	GO:0003674
SIR4	S000002635	chromatin binding	GO:0003682
SEN1	S000004422	snoRNA processing	GO:0043144
RUD3	S000005742	membrane	GO:0016020
TUP1	S000000680	lipid binding	GO:0008289
BTN2	S000003374	ion transport	GO:0006811
THR1	S000001067	kinase activity	GO:0016301
RLM1	S000006010	nucleus	GO:0005634
PSK2	S000005405	kinase activity	GO:0016301
APM1	S000006180	Golgi vesicle transport	GO:0048193
BET4	S000003568	cytoplasm	GO:0005737
UPS3	S000002593	cytoplasm	GO:0005737
TDA2	S000000873	biological process	GO:0008150
YLR154C-G	S000028561	molecular function	GO:0003674
COA6	S000004857	molecular function	GO:0003674
YPT52	S000001722	endosomal transport	GO:0016197
YNL284C-A	S000007386	RNA binding	GO:0003723
TDH3	S000003424	plasma membrane	GO:0005886
SNL1	S000001278	protein folding	GO:0006457
CWH43	S000000610	lipid metabolic process	GO:0006629
ANT1	S000006332	cytoplasm	GO:0005737
TFC3	S000000001	mitochondrion	GO:0005739
SCS2	S000000922	nucleus	GO:0005634
SKP1	S000002736	mitotic cell cycle	GO:0000278
GOS1	S000001023	Golgi vesicle transport	GO:0048193
YHR202W	S000001245	molecular function	GO:0003674
ARN1	S000001032	cytoplasmic membrane-bounded vesicle	GO:0016023
TOM7	S000005014	protein transporter activity	GO:0008565
PUF6	S000002904	mRNA binding	GO:0003729
SNU56	S000002648	RNA splicing	GO:0008380
NAB3	S000006111	nucleus	GO:0005634
AMA1	S000003457	sporulation	GO:0043934
GSC2	S000003264	membrane	GO:0016020
RAD5	S000004022	chromosome	GO:0005694
SNR41	S000007305	RNA modification guide activity	GO:0030555
PET100	S000002486	cytoplasm	GO:0005737
TRM1	S000002527	transferase activity	GO:0016740
RDL1	S000005811	endoplasmic reticulum	GO:0005783
ATP10	S000004385	mitochondrion	GO:0005739
COX4	S000003155	membrane	GO:0016020
POG1	S000001384	chromosome	GO:0005694
RAD26	S000003796	chromatin organization	GO:0006325
NCE102	S000006353	cytoplasm	GO:0005737
DNF3	S000004772	ATPase activity	GO:0016887
SNR77	S000007311	RNA binding	GO:0003723
AIM44	S000006079	cytokinesis	GO:0000910
AIP1	S000004698	nucleus	GO:0005634
DBF2	S000003324	organelle fission	GO:0048285
POB3	S000004534	chromatin organization	GO:0006325
GCR1	S000005996	chromatin organization	GO:0006325
YDL027C	S000002185	molecular function	GO:0003674
TCD1	S000001045	tRNA processing	GO:0008033
YOL057W	S000005418	peptidase activity	GO:0008233
RFX1	S000004166	nucleus	GO:0005634
CPR5	S000002712	cytoplasm	GO:0005737
MAK10	S000000779	transferase activity	GO:0016740
SWD1	S000000064	protein alkylation	GO:0008213
PEX8	S000003309	protein targeting	GO:0006605
MDG1	S000005117	conjugation	GO:0000746
MRPS12	S000005319	ribosome	GO:0005840
VMA16	S000001068	cellular ion homeostasis	GO:0006873
YGR125W	S000003357	vacuole	GO:0005773
YKT6	S000001679	membrane fusion	GO:0061025
HEM14	S000000816	membrane	GO:0016020
FHN1	S000003363	molecular function	GO:0003674
ALG6	S000005528	generation of precursor metabolites and energy	GO:0006091
LEA1	S000006134	cytoplasm	GO:0005737
RPS16A	S000004751	ribosome	GO:0005840
PBY1	S000000298	biological process	GO:0008150
SNR33	S000007298	RNA modification	GO:0009451
SNR17B	S000007441	nucleus	GO:0005634
DOT1	S000002848	regulation of cell cycle	GO:0051726
TFB1	S000002719	transcription from RNA polymerase I promoter	GO:0006360
MRPL49	S000003632	mitochondrion organization	GO:0007005
UFE1	S000005601	cytoplasm	GO:0005737
PSY2	S000005145	regulation of cell cycle	GO:0051726
MRPL13	S000001714	mitochondrion organization	GO:0007005
HSP104	S000003949	hydrolase activity	GO:0016787
SPC105	S000003061	mitochondrion	GO:0005739
FAR10	S000004228	response to chemical	GO:0042221
DDC1	S000006115	DNA recombination	GO:0006310
JJJ3	S000003858	peptidyl-amino acid modification	GO:0018193
CDC26	S000001932	transferase activity	GO:0016740
SNR34	S000006500	RNA modification	GO:0009451
UBP8	S000004836	chromatin organization	GO:0006325
tA(AGC)K1	S000006515	translational elongation	GO:0006414
SUP7	S000006781	triplet codon-amino acid adaptor activity	GO:0030533
PAF1	S000000483	mitotic cell cycle	GO:0000278
MRF1	S000003111	mitochondrion	GO:0005739
YPL229W	S000006150	cytoplasm	GO:0005737
ATP3	S000000243	transmembrane transporter activity	GO:0022857
HSP26	S000000276	mRNA binding	GO:0003729
AGP2	S000000336	endoplasmic reticulum	GO:0005783
AST2	S000000903	cytoplasm	GO:0005737
TRE1	S000006097	protein targeting	GO:0006605
TAF1	S000003506	cytoplasm	GO:0005737
AGA1	S000005327	conjugation	GO:0000746
SLN1	S000001409	transferase activity	GO:0016740
YSH1	S000004267	RNA splicing	GO:0008380
YLL006W-A	S000028560	cellular component	GO:0005575
PRM3	S000006113	molecular function	GO:0003674
ZIP1	S000002693	chromatin binding	GO:0003682
EXO70	S000003621	exocytosis	GO:0006887
tD(GUC)M	S000006543	cytoplasm	GO:0005737
MNT3	S000001276	transferase activity	GO:0016740
SDA1	S000003477	ribosomal subunit export from nucleus	GO:0000054
SNR87	S000114301	rRNA binding	GO:0019843
FAB1	S000001915	vacuole	GO:0005773
SPC25	S000000820	nucleus	GO:0005634
ERG9	S000001233	transferase activity	GO:0016740
ATP16	S000002162	membrane	GO:0016020
CHD1	S000000966	chromatin binding	GO:0003682
ARP2	S000002187	cytoplasm	GO:0005737
FRE7	S000005512	plasma membrane	GO:0005886
NTH1	S000002408	hydrolase activity, acting on glycosyl bonds	GO:0016798
MAM33	S000001332	molecular function	GO:0003674
TRS33	S000005641	Golgi vesicle transport	GO:0048193
ISW2	S000005831	nucleus	GO:0005634
YOR093C	S000005619	biological process	GO:0008150
POX1	S000003173	oxidoreductase activity	GO:0016491
DSS1	S000004900	hydrolase activity	GO:0016787
IRC25	S000004011	RNA catabolic process	GO:0006401
VAM3	S000005632	organelle fusion	GO:0048284
BNI5	S000005110	protein complex biogenesis	GO:0070271
YGL006W-A	S000028769	cellular component	GO:0005575
CIR1	S000003439	molecular function	GO:0003674
SET2	S000003704	histone modification	GO:0016570
CTA1	S000002664	response to chemical	GO:0042221
PMS1	S000005026	organelle fission	GO:0048285
NAM9	S000005081	ribosome	GO:0005840
MAP1	S000004234	peptidase activity	GO:0008233
EFT2	S000002793	RNA binding	GO:0003723
PDR12	S000005979	plasma membrane	GO:0005886
SMC2	S000001927	ATPase activity	GO:0016887
tI(GAU)Q	S000007322	translational elongation	GO:0006414
MMS22	S000004312	nucleus	GO:0005634
ISA2	S000006271	cytoplasm	GO:0005737
ISA2	S000006271	ion binding	GO:0043167
HSM3	S000000476	protein complex biogenesis	GO:0070271
APT1	S000004484	transferase activity	GO:0016740
SUF11	S000006688	RNA binding	GO:0003723
HXT15	S000002404	carbohydrate transport	GO:0008643
BUB2	S000004659	regulation of organelle organization	GO:0033043
PAU4	S000004453	molecular function	GO:0003674
RPS30B	S000005708	cytoplasm	GO:0005737
YGR204C-A	S000028640	molecular function	GO:0003674
TIM22	S000002376	cytoplasm	GO:0005737
PSY3	S000004368	nucleus	GO:0005634
SPL2	S000001178	protein targeting	GO:0006605
YPL068C	S000005989	molecular function	GO:0003674
RSM7	S000003874	cytoplasm	GO:0005737
SPC25	S000000820	chromosome	GO:0005694
SAM37	S000004664	protein complex biogenesis	GO:0070271
DIT1	S000002811	meiotic cell cycle	GO:0051321
OSW2	S000004044	sporulation	GO:0043934
RAD10	S000004560	DNA binding	GO:0003677
LOT5	S000001666	biological process	GO:0008150
MNL1	S000001247	proteolysis involved in cellular protein catabolic process	GO:0051603
BUD23	S000000643	transferase activity	GO:0016740
YDR210W-B	S000007393	nuclease activity	GO:0004518
CBC2	S000006099	RNA binding	GO:0003723
TCO89	S000006101	molecular function	GO:0003674
YER134C	S000000936	biological process	GO:0008150
AST1	S000000165	protein targeting	GO:0006605
YMR317W	S000004936	molecular function	GO:0003674
CMK2	S000005376	cytoplasm	GO:0005737
VPS53	S000003566	Golgi vesicle transport	GO:0048193
CDC33	S000005499	regulation of cell cycle	GO:0051726
PAR32	S000002332	biological process	GO:0008150
tI(AAU)I2	S000006606	translational elongation	GO:0006414
SCH9	S000001248	membrane	GO:0016020
SDH1	S000001631	nucleobase-containing small molecule metabolic process	GO:0055086
SDP1	S000001375	hydrolase activity	GO:0016787
COX26	S000113555	biological process	GO:0008150
MCP1	S000005754	molecular function	GO:0003674
PGM1	S000001610	carbohydrate metabolic process	GO:0005975
SSP1	S000001227	molecular function	GO:0003674
TIF5	S000006245	cytoplasm	GO:0005737
MID1	S000005235	cytoplasm	GO:0005737
tR(UCU)B	S000006708	cytoplasm	GO:0005737
CWH43	S000000610	protein lipidation	GO:0006497
SEC62	S000006015	protein transporter activity	GO:0008565
YDL124W	S000002282	plasma membrane	GO:0005886
VHT1	S000003297	ion transport	GO:0006811
SPO16	S000001196	molecular function	GO:0003674
PCA1	S000000499	membrane	GO:0016020
SEC5	S000002573	organelle inheritance	GO:0048308
SOD2	S000001050	oxidoreductase activity	GO:0016491
UBP10	S000005130	histone modification	GO:0016570
RPS19B	S000005246	structural molecule activity	GO:0005198
OSW2	S000004044	cell wall organization or biogenesis	GO:0071554
RGT1	S000001521	carbohydrate metabolic process	GO:0005975
CIK1	S000004811	nucleus organization	GO:0006997
PRP45	S000000030	nucleus	GO:0005634
GCD14	S000003661	RNA modification	GO:0009451
MED1	S000006274	molecular function	GO:0003674
IDS2	S000003682	cytoplasm	GO:0005737
EMP24	S000003168	endoplasmic reticulum	GO:0005783
GSY2	S000004248	cytoplasm	GO:0005737
ARO80	S000002829	nucleic acid binding transcription factor activity	GO:0001071
SOL1	S000005317	nuclear transport	GO:0051169
ERG26	S000002969	oxidoreductase activity	GO:0016491
TFB2	S000006043	DNA repair	GO:0006281
YEA4	S000000730	endoplasmic reticulum	GO:0005783
MRP4	S000000996	structural molecule activity	GO:0005198
DGK1	S000005838	lipid metabolic process	GO:0006629
JJJ1	S000005171	enzyme regulator activity	GO:0030234
VRG4	S000003193	cytoplasm	GO:0005737
BSP1	S000006375	cytoskeleton	GO:0005856
FMP30	S000006024	cytoplasm	GO:0005737
CMD1	S000000313	nucleus organization	GO:0006997
WSC4	S000001020	membrane	GO:0016020
CUL3	S000003235	nucleus	GO:0005634
ARG4	S000001060	cellular amino acid metabolic process	GO:0006520
FAA3	S000001271	cellular component	GO:0005575
SUB2	S000002242	helicase activity	GO:0004386
YNR034W-A	S000007525	molecular function	GO:0003674
RPL25	S000005487	RNA binding	GO:0003723
RET1	S000005733	transcription from RNA polymerase III promoter	GO:0006383
MPH1	S000001441	DNA repair	GO:0006281
YLR049C	S000004039	cellular component	GO:0005575
tD(GUC)I1	S000006534	translational elongation	GO:0006414
RBD2	S000006167	cytoplasm	GO:0005737
TOR1	S000003827	cytoplasm	GO:0005737
RDN58-1	S000006488	cytoplasm	GO:0005737
RAD23	S000000763	DNA binding	GO:0003677
MMS2	S000003055	nucleus	GO:0005634
DAK1	S000004535	transferase activity	GO:0016740
REC114	S000004740	meiotic cell cycle	GO:0051321
PIB2	S000002991	molecular function	GO:0003674
AFG1	S000000778	response to chemical	GO:0042221
MSP1	S000003260	peroxisome	GO:0005777
ACT1	S000001855	chromatin organization	GO:0006325
ARE1	S000000644	lipid metabolic process	GO:0006629
TYS1	S000003417	cytoplasm	GO:0005737
AIM17	S000001013	molecular function	GO:0003674
tE(UUC)E2	S000006551	translational elongation	GO:0006414
tG(GCC)D2	S000006577	cytoplasm	GO:0005737
GCD11	S000000827	ion binding	GO:0043167
YBR063C	S000000267	molecular function	GO:0003674
SLD2	S000001591	nucleus	GO:0005634
PIB1	S000002721	membrane	GO:0016020
CDC1	S000002590	endoplasmic reticulum	GO:0005783
SPO74	S000003138	sporulation	GO:0043934
ATP16	S000002162	nucleobase-containing small molecule metabolic process	GO:0055086
SLZ1	S000005140	organelle fission	GO:0048285
BMS1	S000006138	nucleus	GO:0005634
RIX1	S000001240	DNA replication	GO:0006260
INP2	S000004773	cytoplasm	GO:0005737
ARG2	S000003607	cellular amino acid metabolic process	GO:0006520
SAS3	S000000148	peptidyl-amino acid modification	GO:0018193
FLR1	S000000212	cytoplasm	GO:0005737
MRPS12	S000005319	mitochondrion organization	GO:0007005
SPT15	S000000950	chromatin binding	GO:0003682
GET3	S000002258	response to chemical	GO:0042221
PRC1	S000004912	cytoplasm	GO:0005737
PDX1	S000003425	monocarboxylic acid metabolic process	GO:0032787
YHL050C	S000001042	hydrolase activity	GO:0016787
POA1	S000000226	hydrolase activity	GO:0016787
ARP4	S000003617	histone modification	GO:0016570
SLG1	S000005534	site of polarized growth	GO:0030427
SNR10	S000007499	rRNA binding	GO:0019843
TAX4	S000003619	molecular function	GO:0003674
IPI3	S000005126	nucleus	GO:0005634
PRR1	S000001599	cytoplasm	GO:0005737
FAA2	S000000817	mitochondrion	GO:0005739
TCB3	S000004537	membrane	GO:0016020
YLR281C	S000004271	molecular function	GO:0003674
LEO1	S000005649	protein binding transcription factor activity	GO:0000988
YMR130W	S000004737	cellular component	GO:0005575
FUS2	S000004845	organelle fusion	GO:0048284
SNR69	S000006460	nucleus	GO:0005634
YGR130C	S000003362	biological process	GO:0008150
NGL3	S000004587	cellular component	GO:0005575
YGL138C	S000003106	membrane	GO:0016020
SSB1	S000002388	ATPase activity	GO:0016887
SGS1	S000004802	ATPase activity	GO:0016887
ATG32	S000001408	membrane	GO:0016020
YDL176W	S000002335	molecular function	GO:0003674
SNR60	S000006451	nucleus	GO:0005634
NGL3	S000004587	RNA catabolic process	GO:0006401
HSC82	S000004798	protein folding	GO:0006457
YDR034C-D	S000007345	peptidase activity	GO:0008233
PIG1	S000004263	enzyme regulator activity	GO:0030234
TUB3	S000004593	meiotic cell cycle	GO:0051321
YPL278C	S000006199	cellular component	GO:0005575
tN(GUU)F	S000006669	triplet codon-amino acid adaptor activity	GO:0030533
PEX17	S000005158	peroxisome	GO:0005777
ORC2	S000000264	chromatin organization	GO:0006325
BOS1	S000004068	vesicle organization	GO:0016050
SBH1	S000002128	guanyl-nucleotide exchange factor activity	GO:0005085
SDH6	S000007605	mitochondrion organization	GO:0007005
RPL11A	S000006306	ribosome assembly	GO:0042255
YOR1	S000003513	transmembrane transporter activity	GO:0022857
YIP4	S000003166	biological process	GO:0008150
CAF4	S000001744	molecular function	GO:0003674
CAK1	S000001865	cytoplasm	GO:0005737
ODC1	S000006055	mitochondrion	GO:0005739
KAP122	S000002984	protein targeting	GO:0006605
YNR065C	S000005348	biological process	GO:0008150
NDL1	S000004244	nucleus	GO:0005634
EXO84	S000000306	RNA splicing	GO:0008380
FYV4	S000001101	biological process	GO:0008150
CMC4	S000028514	molecular function	GO:0003674
ATG20	S000002271	membrane	GO:0016020
QCR7	S000002937	nucleobase-containing small molecule metabolic process	GO:0055086
COG7	S000002973	molecular function	GO:0003674
RBG2	S000003405	cytoplasm	GO:0005737
CDC6	S000003730	cytoplasm	GO:0005737
UPF3	S000003304	RNA binding	GO:0003723
YIG1	S000006122	molecular function	GO:0003674
MSC1	S000004597	DNA recombination	GO:0006310
TGA1	S000006521	cytoplasm	GO:0005737
HYR1	S000001476	peroxisome	GO:0005777
YLR152C	S000004142	molecular function	GO:0003674
WIP1	S000113553	chromosome	GO:0005694
UBR2	S000004014	transferase activity	GO:0016740
DAK2	S000001841	cellular component	GO:0005575
IDP1	S000002224	oxidoreductase activity	GO:0016491
YTA7	S000003502	nucleus	GO:0005634
APT2	S000002849	transferase activity, transferring glycosyl groups	GO:0016757
PLB2	S000004608	extracellular region	GO:0005576
STR3	S000003152	cellular amino acid metabolic process	GO:0006520
KTI11	S000007587	nucleus	GO:0005634
KAE1	S000001746	nucleobase-containing small molecule metabolic process	GO:0055086
YIR042C	S000001481	cellular component	GO:0005575
NME1	S000007436	hydrolase activity	GO:0016787
RFA3	S000003709	protein modification by small protein conjugation or removal	GO:0070647
ERD2	S000000136	membrane	GO:0016020
GRX3	S000002505	oxidoreductase activity	GO:0016491
LYS5	S000003122	transferase activity	GO:0016740
SPR1	S000005716	sporulation	GO:0043934
YAP1802	S000003473	endocytosis	GO:0006897
FIG1	S000000244	membrane	GO:0016020
BCP1	S000002769	nuclear transport	GO:0051169
GPD2	S000005420	cofactor metabolic process	GO:0051186
RBS1	S000002348	carbohydrate metabolic process	GO:0005975
FCY21	S000000862	plasma membrane	GO:0005886
CUP9	S000006098	protein binding transcription factor activity	GO:0000988
IMT4	S000006660	triplet codon-amino acid adaptor activity	GO:0030533
TAT1	S000000273	transmembrane transport	GO:0055085
VPS9	S000004563	Golgi vesicle transport	GO:0048193
tS(AGA)G	S000006725	cytoplasm	GO:0005737
RPS14A	S000000627	ribosome assembly	GO:0042255
LSO2	S000028521	cellular component	GO:0005575
LDS1	S000000016	cell wall organization or biogenesis	GO:0071554
YFR035C	S000001931	biological process	GO:0008150
SNR32	S000007297	nucleus	GO:0005634
MDY2	S000005471	response to chemical	GO:0042221
TIM12	S000000295	protein targeting	GO:0006605
SUP61	S000006730	RNA binding	GO:0003723
BIT61	S000003594	signaling	GO:0023052
SNF3	S000002353	regulation of cell cycle	GO:0051726
SNR11	S000007293	RNA binding	GO:0003723
KES1	S000006066	ion binding	GO:0043167
HPR1	S000002545	nuclear transport	GO:0051169
RPS30A	S000004278	cytoplasm	GO:0005737
YJR027W	S000003788	nucleotidyltransferase activity	GO:0016779
TRS33	S000005641	molecular function	GO:0003674
MDM12	S000005369	ion transport	GO:0006811
CDC33	S000005499	lipid binding	GO:0008289
UTR1	S000003810	cofactor metabolic process	GO:0051186
MRD1	S000006316	RNA binding	GO:0003723
GLT1	S000002330	mitochondrion	GO:0005739
YBL005W-B	S000002147	nucleus	GO:0005634
INO1	S000003689	isomerase activity	GO:0016853
GIP1	S000000249	membrane	GO:0016020
YPQ2	S000002760	vacuole	GO:0005773
TPO4	S000005799	cytoplasm	GO:0005737
ADH5	S000000349	cytoplasm	GO:0005737
LSG1	S000003067	GTPase activity	GO:0003924
YHL009W-B	S000007372	nuclease activity	GO:0004518
TOP1	S000005366	chromosome	GO:0005694
PHO87	S000000633	regulation of transport	GO:0051049
ACE2	S000004121	DNA binding	GO:0003677
LSM7	S000005091	RNA binding	GO:0003723
FMP33	S000003697	biological process	GO:0008150
KSP1	S000001124	cytoplasm	GO:0005737
THI21	S000006179	vitamin metabolic process	GO:0006766
YKL075C	S000001558	cytoplasm	GO:0005737
ANT1	S000006332	nucleobase-containing compound transport	GO:0015931
HXT10	S000001883	mitochondrion	GO:0005739
AIM29	S000001782	cytoplasm	GO:0005737
SNR66	S000006457	RNA modification guide activity	GO:0030555
TRM9	S000004476	transferase activity	GO:0016740
RTR1	S000000941	transcription from RNA polymerase II promoter	GO:0006366
RFC2	S000003829	DNA repair	GO:0006281
NPL3	S000002840	regulation of translation	GO:0006417
POF1	S000000552	nucleotidyltransferase activity	GO:0016779
